Full_Filepath,Filepath,Filename,Extension,Alt_Data_Stream,Directory_Depth,Filename_Length,Is_Common_Extension,Contains_Double_Ext,Contains_ADS,Is_Malicious
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-hyper-v-hypervisor-merged-package~31bf3856ad364e35~amd64~en-us~10.0.19041.1.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-hyper-v-hypervisor-merged-package~31bf3856ad364e35~amd64~en-us~10.0.19041.1,cat,,4,85,0,0,0,0
\program files (x86)\nvda\synthdrivers\espeak-ng-data\ta_dict,\program files (x86)\nvda\synthdrivers\espeak-ng-data,ta_dict,,,4,7,0,0,0,0
\program files\libreoffice\share\xpdfimport\poppler_data\cmap\adobe-japan1\adobe-japan1-2,\program files\libreoffice\share\xpdfimport\poppler_data\cmap\adobe-japan1,adobe-japan1-2,,,7,14,0,0,0,0
\program files\microsoft office\root\clipart\pub60cor\j0107490.wmf,\program files\microsoft office\root\clipart\pub60cor,j0107490,wmf,,5,8,0,0,0,0
\system32\ipmontr.exe,\system32,ipmontr,exe,,1,7,1,0,0,1
\windows\winsxs\manifests\amd64_microsoft-windows-s..-windows-deployment_31bf3856ad364e35_10.0.10240.16384_none_fcdf6f3a3e4dc377.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-s..-windows-deployment_31bf3856ad364e35_10.0.10240.16384_none_fcdf6f3a3e4dc377,manifest,,3,102,0,0,0,0
\windows\syswow64\en-us\licenses\oem\iotenterprisek\license.rtf,\windows\syswow64\en-us\licenses\oem\iotenterprisek,license,rtf,,6,7,1,0,0,0
\program files (x86)\pidgin\plugins\gtkbuddynote.dll,\program files (x86)\pidgin\plugins,gtkbuddynote,dll,,3,12,1,0,0,0
\windows\syswow64\c_10017.nls,\windows\syswow64,c_10017,nls,,2,7,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-rdc-package~31bf3856ad364e35~amd64~~10.0.22621.1.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-rdc-package~31bf3856ad364e35~amd64~~10.0.22621.1,cat,,4,66,0,0,0,0
\program files (x86)\openoffice 4\help\en\simpress.tree,\program files (x86)\openoffice 4\help\en,simpress,tree,,4,8,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-c..sktop.appxmain.root_31bf3856ad364e35_<version>_none_28bddf4080370cbd\r\ppivoiceagents.dll,\windows\winsxs\amd64_microsoft-windows-c..sktop.appxmain.root_31bf3856ad364e35_<version>_none_28bddf4080370cbd\r,ppivoiceagents,dll,,4,14,1,0,0,0
\program files\libreoffice\share\extensions\wiki-publisher\help\af\help.db_,\program files\libreoffice\share\extensions\wiki-publisher\help\af,help,db_,,7,4,0,0,0,0
\windows\winsxs\amd64_dual_hiddigi.inf_31bf3856ad364e35_<version>_none_4b9092d7a6be20ac\wacompen.sys,\windows\winsxs\amd64_dual_hiddigi.inf_31bf3856ad364e35_<version>_none_4b9092d7a6be20ac,wacompen,sys,,3,8,1,0,0,0
\windows\winsxs\catalogs\a063a81ca2120a3a95b67a3031a4434de944f8c019c238c956360ac8b13954fe.cat,\windows\winsxs\catalogs,a063a81ca2120a3a95b67a3031a4434de944f8c019c238c956360ac8b13954fe,cat,,3,64,0,0,0,0
\program files\inkscape\share\inkscape\icons\hicolor\symbolic\actions\object-flip-hor-symbolic.svg,\program files\inkscape\share\inkscape\icons\hicolor\symbolic\actions,object-flip-hor-symbolic,svg,,8,24,0,0,0,0
\windows\winsxs\manifests\x86_microsoft-windows-a..hui-instrumentation_31bf3856ad364e35_10.0.14393.0_none_b0d5ca6ab813475d.manifest,\windows\winsxs\manifests,x86_microsoft-windows-a..hui-instrumentation_31bf3856ad364e35_10.0.14393.0_none_b0d5ca6ab813475d,manifest,,3,96,0,0,0,0
\users\<username>\desktop\expenses_03_2021.xlsx:zone.identifier,\users\<username>\desktop,expenses_03_2021,xlsx,zone.identifier,3,16,1,0,1,0
\windows\system32\tasks\microsoft\windows\settingsync\networkstatechangetask,\windows\system32\tasks\microsoft\windows\settingsync,networkstatechangetask,,,6,22,0,0,0,0
\windows\syswow64\en-us\basecsp.dll.mui,\windows\syswow64\en-us,basecsp.dll,mui,,3,11,1,1,0,0
\program files\inkscape\share\inkscape\icons\hicolor\symbolic\actions\draw-geometry-mirror-symbolic.svg,\program files\inkscape\share\inkscape\icons\hicolor\symbolic\actions,draw-geometry-mirror-symbolic,svg,,8,29,0,0,0,0
\program files\gimp 2\lib\python<version>\ctypes\test\test_varsize_struct.pyo,\program files\gimp 2\lib\python<version>\ctypes\test,test_varsize_struct,pyo,,6,19,0,0,0,0
\system32\atllib.dll,\system32,atllib,dll,,1,6,1,0,0,1
\users\<username>\appdata\roaming\t75xyq.vbs:bin,\users\<username>\appdata\roaming,t75xyq,vbs,bin,4,6,0,0,1,1
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_321_for_kb5003646~31bf3856ad364e35~amd64~~10.0.1.9.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_321_for_kb5003646~31bf3856ad364e35~amd64~~10.0.1.9,cat,,4,58,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-c..riencehost.appxmain_31bf3856ad364e35_<version>_none_5015a1c11f92f955\tokenmanagererrorhandler.html,\windows\winsxs\amd64_microsoft-windows-c..riencehost.appxmain_31bf3856ad364e35_<version>_none_5015a1c11f92f955,tokenmanagererrorhandler,html,,3,24,1,0,0,0
\windows\winsxs\amd64_netfx4-system.collections.concurrent_b03f5f7f11d50a3a_<version>_none_af5c1194d0f47975\system.collections.concurrent.dll,\windows\winsxs\amd64_netfx4-system.collections.concurrent_b03f5f7f11d50a3a_<version>_none_af5c1194d0f47975,system.collections.concurrent,dll,,3,29,1,0,0,0
\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js\videoplaybackstrings17.faf12c2b.chunk.js,\program files\microsoft office\root\office16\sdxs\fa000000084\fluidhost\static\js,videoplaybackstrings17.faf12c2b.chunk,js,,9,37,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1049_for_kb4022725~31bf3856ad364e35~amd64~~10.0.1.6.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1049_for_kb4022725~31bf3856ad364e35~amd64~~10.0.1.6,cat,,4,59,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_310_for_kb4487044~31bf3856ad364e35~amd64~~10.0.1.4.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_310_for_kb4487044~31bf3856ad364e35~amd64~~10.0.1.4,cat,,4,58,0,0,0,0
\program files (x86)\bonjour\bonjour.resources\pl.lproj\about bonjour.rtf,\program files (x86)\bonjour\bonjour.resources\pl.lproj,about bonjour,rtf,,4,13,1,0,0,0
\windows\winsxs\backup\wow64_microsoft-windows-u..istration.resources_31bf3856ad364e35_10.0.18362.1500_en-us_7b9a073d1230ef7f_dsregtask.dll.mui_5e1b9353,\windows\winsxs\backup,wow64_microsoft-windows-u..istration.resources_31bf3856ad364e35_10.0.18362.1500_en-us_7b9a073d1230ef7f_dsregtask.dll,mui_5e1b9353,,3,116,0,1,0,0
\windows\winsxs\amd64_volsnap.inf.resources_31bf3856ad364e35_<version>_en-us_e5c09af0fe766faa\volsnap.inf_loc,\windows\winsxs\amd64_volsnap.inf.resources_31bf3856ad364e35_<version>_en-us_e5c09af0fe766faa,volsnap,inf_loc,,3,7,0,0,0,0
\program files\krita (x64)\share\krita\actions\pathtool.action,\program files\krita (x64)\share\krita\actions,pathtool,action,,5,8,0,0,0,0
\windows\winsxs\manifests\wow64_networking-mpssvc.resources_31bf3856ad364e35_10.0.10586.0_en-gb_581065cac970c6aa.manifest,\windows\winsxs\manifests,wow64_networking-mpssvc.resources_31bf3856ad364e35_10.0.10586.0_en-gb_581065cac970c6aa,manifest,,3,86,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-foundation-group-wow64-package~31bf3856ad364e35~amd64~~10.0.20348.1607.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-foundation-group-wow64-package~31bf3856ad364e35~amd64~~10.0.20348.1607,cat,,4,88,0,0,0,0
\program files\inkscape\lib\python<version>\site-packages\numpy\distutils\fcompiler\__pycache__\__init__.cpython-311.pyc,\program files\inkscape\lib\python<version>\site-packages\numpy\distutils\fcompiler\__pycache__,__init__.cpython-311,pyc,,9,20,0,0,0,0
\windows\winsxs\manifests\wow64_microsoft-windows-coreos-revision_31bf3856ad364e35_10.0.22000.1219_none_620bca897c025ea0.manifest,\windows\winsxs\manifests,wow64_microsoft-windows-coreos-revision_31bf3856ad364e35_10.0.22000.1219_none_620bca897c025ea0,manifest,,3,94,0,0,0,0
\program files\gimp 2\share\locale\rw\lc_messages\iso_639_3.mo,\program files\gimp 2\share\locale\rw\lc_messages,iso_639_3,mo,,6,9,0,0,0,0
\users\<username>\desktop\photo_2022.jpg:zone.identifier,\users\<username>\desktop,photo_2022,jpg,zone.identifier,3,10,1,0,1,0
\program files (x86)\avira\security\antivirus.contextmenu\es-es\antivirus.contextmenu.resources.dll,\program files (x86)\avira\security\antivirus.contextmenu\es-es,antivirus.contextmenu.resources,dll,,5,31,1,0,0,0
\windows\system32\driverstore\filerepository\prnhpcl1.inf_amd64_bcd1445e66e3317c\amd64\hpbxpsrender.dll,\windows\system32\driverstore\filerepository\prnhpcl1.inf_amd64_bcd1445e66e3317c\amd64,hpbxpsrender,dll,,6,12,1,0,0,0
\windows\system32\hydrogen\bakedplugins\animation\preseteasecurveoutcubic.hbakedcurve,\windows\system32\hydrogen\bakedplugins\animation,preseteasecurveoutcubic,hbakedcurve,,5,23,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_406_for_kb4565349~31bf3856ad364e35~amd64~~10.0.1.5.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_406_for_kb4565349~31bf3856ad364e35~amd64~~10.0.1.5,cat,,4,58,0,0,0,0
\eclipse\features\org.eclipse.mylyn.commons.identity.feature_<version>.v20241002-1142\meta-inf\eclipse_.rsa,\eclipse\features\org.eclipse.mylyn.commons.identity.feature_<version>.v20241002-1142\meta-inf,eclipse_,rsa,,4,8,0,0,0,0
\users\<username>\downloads\redefining_our_structural_canvas_2023_confidential.pdf.lnk,\users\<username>\downloads,redefining_our_structural_canvas_2023_confidential.pdf,lnk,,3,54,0,1,0,1
\program files\libreoffice\help\media\icon-themes\cmd\sc_toolbarmode.svg,\program files\libreoffice\help\media\icon-themes\cmd,sc_toolbarmode,svg,,6,14,0,0,0,0
\inetpub\wwwroot\aspnet_client\t.aspx,\inetpub\wwwroot\aspnet_client,t,aspx,,3,1,1,0,0,1
\program files\python313\lib\xmlrpc\client.py,\program files\python313\lib\xmlrpc,client,py,,4,6,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_for_dotnetrollup~31bf3856ad364e35~amd64~~10.0.4210.3.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_for_dotnetrollup~31bf3856ad364e35~amd64~~10.0.4210.3,cat,,4,60,0,0,0,0
\program files (x86)\gretech\gomplayer\skins\touch\touch\play.png,\program files (x86)\gretech\gomplayer\skins\touch\touch,play,png,,6,4,1,0,0,0
\windows\winsxs\amd64_microsoft-windows-fileexplorer.appxmain_31bf3856ad364e35_<version>_none_bf5cd1c88ef0b9c4\ppiremovablestoragedevicessquaretile150x150.scale-400.png,\windows\winsxs\amd64_microsoft-windows-fileexplorer.appxmain_31bf3856ad364e35_<version>_none_bf5cd1c88ef0b9c4,ppiremovablestoragedevicessquaretile150x150.scale-400,png,,3,53,1,0,0,0
\program files\libreoffice\help\media\icon-themes\cmd\32\basicshapes.sinusoid.svg,\program files\libreoffice\help\media\icon-themes\cmd\32,basicshapes.sinusoid,svg,,7,20,0,0,0,0
\program files\libreoffice\help\media\helpimg\starmath\bi21309.svg,\program files\libreoffice\help\media\helpimg\starmath,bi21309,svg,,6,7,0,0,0,0
\users\<username>\desktop\vacation_05_2023.jpg:zone.identifier,\users\<username>\desktop,vacation_05_2023,jpg,zone.identifier,3,16,1,0,1,0
\windows\syswow64\migwiz\replacementmanifests\suacore-wow64-rm.man,\windows\syswow64\migwiz\replacementmanifests,suacore-wow64-rm,man,,4,16,0,0,0,0
\program files (x86)\python313-32\lib\site-packages\pip\_vendor\idna\compat.py,\program files (x86)\python313-32\lib\site-packages\pip\_vendor\idna,compat,py,,7,6,0,0,0,0
\windows\system32\oobefldr.dll,\windows\system32,oobefldr,dll,,2,8,1,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1052_for_kb4022725~31bf3856ad364e35~amd64~~10.0.1.6.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1052_for_kb4022725~31bf3856ad364e35~amd64~~10.0.1.6,cat,,4,59,0,0,0,0
\program files\itunes\webkit.resources\webinspectorui\images\database.svg,\program files\itunes\webkit.resources\webinspectorui\images,database,svg,,5,8,0,0,0,0
\program files\inkscape\lib\tcl<version>\word.tcl,\program files\inkscape\lib\tcl<version>,word,tcl,,4,4,0,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1503_for_kb4025342~31bf3856ad364e35~amd64~~10.0.1.13.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1503_for_kb4025342~31bf3856ad364e35~amd64~~10.0.1.13,cat,,4,60,0,0,0,0
\program files\blender foundation\blender <version>\<version>\python\lib\site-packages\cython\includes\deprecated\python_version.pxd,\program files\blender foundation\blender <version>\<version>\python\lib\site-packages\cython\includes\deprecated,python_version,pxd,,10,14,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-wmi-core-svc_31bf3856ad364e35_<version>_none_ae6c836259bc47d3\winmgmt.exe,\windows\winsxs\amd64_microsoft-windows-wmi-core-svc_31bf3856ad364e35_<version>_none_ae6c836259bc47d3,winmgmt,exe,,3,7,1,0,0,0
\program files (x86)\dropbox\client\<version>\dbghelp_native.pyd,\program files (x86)\dropbox\client\<version>,dbghelp_native,pyd,,4,14,0,0,0,0
\program files (x86)\python313-32\tcl\tcl<version>\tzdata\asia\phnom_penh,\program files (x86)\python313-32\tcl\tcl<version>\tzdata\asia,phnom_penh,,,6,10,0,0,0,0
\program files\inkscape\share\inkscape\extensions\jessyink_core_mousehandler_noclick.js,\program files\inkscape\share\inkscape\extensions,jessyink_core_mousehandler_noclick,js,,5,34,0,0,0,0
\program files\inkscape\lib\python<version>\lib2to3\tests\data\fixers\__pycache__\parrot_example.cpython-311.pyc,\program files\inkscape\lib\python<version>\lib2to3\tests\data\fixers\__pycache__,parrot_example.cpython-311,pyc,,9,26,0,0,0,0
\program files\itunes\cfnetwork.resources\types.plist,\program files\itunes\cfnetwork.resources,types,plist,,3,5,0,0,0,0
\windows\servicing\packages\package_2198_for_kb5000822~31bf3856ad364e35~amd64~~10.0.1.5.cat,\windows\servicing\packages,package_2198_for_kb5000822~31bf3856ad364e35~amd64~~10.0.1.5,cat,,3,59,0,0,0,0
\program files\itunes\webkit.resources\webinspectorui\models\cssstylesheet.js,\program files\itunes\webkit.resources\webinspectorui\models,cssstylesheet,js,,5,13,0,0,0,0
\program files\zoom\resources\emojis\1f62f.svg,\program files\zoom\resources\emojis,1f62f,svg,,4,5,0,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-help-credits.resources_31bf3856ad364e35_10.0.22000.1516_en-us_27829b3a1bdd8e2b.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-help-credits.resources_31bf3856ad364e35_10.0.22000.1516_en-us_27829b3a1bdd8e2b,manifest,,3,102,0,0,0,0
\program files\itunes\webkit.resources\webinspectorui\views\profiledatagridnode.js,\program files\itunes\webkit.resources\webinspectorui\views,profiledatagridnode,js,,5,19,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-i..timezones.resources_31bf3856ad364e35_<version>_sr-..-rs_65c64f6b268cef78\windows.data.timezones.sr-latn-rs.pri,\windows\winsxs\amd64_microsoft-windows-i..timezones.resources_31bf3856ad364e35_<version>_sr-..-rs_65c64f6b268cef78,windows.data.timezones.sr-latn-rs,pri,,3,33,0,0,0,0
\system32\winview.ocs,\system32,winview,ocs,,1,7,0,0,0,1
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_285_for_kb4489899~31bf3856ad364e35~amd64~~10.0.1.11.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_285_for_kb4489899~31bf3856ad364e35~amd64~~10.0.1.11,cat,,4,59,0,0,0,0
\program files (x86)\openoffice 4\share\scripts\java\highlight\highlighttext.java,\program files (x86)\openoffice 4\share\scripts\java\highlight,highlighttext,java,,6,13,0,0,0,0
\program files\inkscape\include\2geom-<version>\2geom\angle.h,\program files\inkscape\include\2geom-<version>\2geom,angle,h,,5,5,0,0,0,0
\windows\temp\silverlight\wmpd.exe,\windows\temp\silverlight,wmpd,exe,,3,4,1,0,0,1
\krweqefc\krweqefc.jsp,\krweqefc,krweqefc,jsp,,1,8,0,0,0,1
\program files\gimp 2\lib\python<version>\hotshot\__init__.py,\program files\gimp 2\lib\python<version>\hotshot,__init__,py,,5,8,0,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-w..ames-wellknown-keys_31bf3856ad364e35_10.0.16299.64_none_0d588eb6c06a0ed7.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-w..ames-wellknown-keys_31bf3856ad364e35_10.0.16299.64_none_0d588eb6c06a0ed7,manifest,,3,99,0,0,0,0
\program files (x86)\microsoft\edgeupdate\<version>\msedgeupdateres_tr.dll,\program files (x86)\microsoft\edgeupdate\<version>,msedgeupdateres_tr,dll,,4,18,1,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\microsoft-windows-photobasic-wow64-package~31bf3856ad364e35~amd64~~10.0.22000.1219.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},microsoft-windows-photobasic-wow64-package~31bf3856ad364e35~amd64~~10.0.22000.1219,cat,,4,82,0,0,0,0
\program files\eclipse adoptium\jdk-<version>-hotspot\bin\dt_shmem.dll,\program files\eclipse adoptium\jdk-<version>-hotspot\bin,dt_shmem,dll,,4,8,1,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_185_for_kb4530715~31bf3856ad364e35~amd64~~10.0.1.4.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_185_for_kb4530715~31bf3856ad364e35~amd64~~10.0.1.4,cat,,4,58,0,0,0,0
\windows\syswow64\downlevel\api-ms-win-core-sysinfo-l1-2-1.dll,\windows\syswow64\downlevel,api-ms-win-core-sysinfo-l1-2-1,dll,,3,30,1,0,0,0
\python27\tcl\tcl<version>\tzdata\asia\ho_chi_minh,\python27\tcl\tcl<version>\tzdata\asia,ho_chi_minh,,,5,11,0,0,0,0
\program files\gimp 2\share\gimp\<version>\icons\symbolic-inverted\scalable\apps\process-stop.svg,\program files\gimp 2\share\gimp\<version>\icons\symbolic-inverted\scalable\apps,process-stop,svg,,9,12,0,0,0,0
\users\<username>\appdata\roaming\qxre.bat:bin,\users\<username>\appdata\roaming,qxre,bat,bin,4,4,1,0,1,1
\windows\servicing\packages\microsoft-onecore-waasassessment-package~31bf3856ad364e35~amd64~~10.0.22000.1.mum,\windows\servicing\packages,microsoft-onecore-waasassessment-package~31bf3856ad364e35~amd64~~10.0.22000.1,mum,,3,77,0,0,0,0
\windows\winsxs\wow64_microsoft-windows-s..ementwmi-powershell_31bf3856ad364e35_<version>_none_168ac6142d394180\storage.psd1,\windows\winsxs\wow64_microsoft-windows-s..ementwmi-powershell_31bf3856ad364e35_<version>_none_168ac6142d394180,storage,psd1,,3,7,0,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-ocr-en-us_31bf3856ad364e35_10.0.10586.0_none_3f5f7c79f80ccc8a.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-ocr-en-us_31bf3856ad364e35_10.0.10586.0_none_3f5f7c79f80ccc8a,manifest,,3,85,0,0,0,0
\windows\winsxs\catalogs\0e7f262c967c98343e25fee983dccbf30682e9aaec8ee86a5e1dd312a7c9c2c0.cat,\windows\winsxs\catalogs,0e7f262c967c98343e25fee983dccbf30682e9aaec8ee86a5e1dd312a7c9c2c0,cat,,3,64,0,0,0,0
\windows\servicing\lcu\package_for_rollupfix~31bf3856ad364e35~amd64~~<version>\amd64_microsoft-windows-s..oyment-languagepack_31bf3856ad364e35_10.0.19041.3636_it-it_f5db83f689133d61.manifest,\windows\servicing\lcu\package_for_rollupfix~31bf3856ad364e35~amd64~~<version>,amd64_microsoft-windows-s..oyment-languagepack_31bf3856ad364e35_10.0.19041.3636_it-it_f5db83f689133d61,manifest,,4,102,0,0,0,0
\pwn\pwn.jsp,\pwn,pwn,jsp,,1,3,0,0,0,1
\program files\libreoffice\program\wizards\agenda\agendadocument.py,\program files\libreoffice\program\wizards\agenda,agendadocument,py,,5,14,0,0,0,0
\program files\microsoft vs code\resources\app\extensions\node_modules\typescript\lib\lib.es2019.array.d.ts,\program files\microsoft vs code\resources\app\extensions\node_modules\typescript\lib,lib.es2019.array.d,ts,,8,18,0,0,0,0
\windows\winsxs\manifests\amd64_microsoft-windows-srumon-application_31bf3856ad364e35_10.0.15063.0_none_26394ed76e0306c7.manifest,\windows\winsxs\manifests,amd64_microsoft-windows-srumon-application_31bf3856ad364e35_10.0.15063.0_none_26394ed76e0306c7,manifest,,3,94,0,0,0,0
\windows\winsxs\manifests\amd64_aspnet_compiler_b03f5f7f11d50a3a_4.0.10586.0_none_e01e2bb1cc01bd4f.manifest,\windows\winsxs\manifests,amd64_aspnet_compiler_b03f5f7f11d50a3a_4.0.10586.0_none_e01e2bb1cc01bd4f,manifest,,3,72,0,0,0,0
\programdata\ieshim.dll,\programdata,ieshim,dll,,1,6,1,0,0,1
\program files\dotnet\shared\microsoft.netcore.app\<version>\system.io.unmanagedmemorystream.dll,\program files\dotnet\shared\microsoft.netcore.app\<version>,system.io.unmanagedmemorystream,dll,,5,31,1,0,0,0
\program files\audacity\mpg123.dll,\program files\audacity,mpg123,dll,,2,6,1,0,0,0
\windows\syswow64\en-gb\iepeers.dll.mui,\windows\syswow64\en-gb,iepeers.dll,mui,,3,11,1,1,0,0
\program files (x86)\nvda\locale\nb_no\cldr.dic,\program files (x86)\nvda\locale\nb_no,cldr,dic,,4,4,0,0,0,0
\windows\winsxs\amd64_windows-media-speech-winrt.resources_31bf3856ad364e35_<version>_fr-fr_14330946ea7b84cf\windows.media.speech.uxres.dll.mui,\windows\winsxs\amd64_windows-media-speech-winrt.resources_31bf3856ad364e35_<version>_fr-fr_14330946ea7b84cf,windows.media.speech.uxres.dll,mui,,3,30,1,1,0,0
\eclipse\plugins\org.eclipse.e4.core.services_2.5.0.v20241015-2219.jar,\eclipse\plugins,org.eclipse.e4.core.services_2.5.0.v20241015-2219,jar,,2,49,1,0,0,0
\users\<username>\documents\vacation_02_2022.jpg,\users\<username>\documents,vacation_02_2022,jpg,,3,16,1,0,0,0
\windows\winsxs\manifests\amd64_c_diskdrive.inf.resources_31bf3856ad364e35_10.0.15063.0_en-us_f4cd6f6f3de08ef4.manifest,\windows\winsxs\manifests,amd64_c_diskdrive.inf.resources_31bf3856ad364e35_10.0.15063.0_en-us_f4cd6f6f3de08ef4,manifest,,3,84,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-d..ction-adm.resources_31bf3856ad364e35_<version>_en-us_668f517c83962a67\r\datacollection.adml,\windows\winsxs\amd64_microsoft-windows-d..ction-adm.resources_31bf3856ad364e35_<version>_en-us_668f517c83962a67\r,datacollection,adml,,4,14,0,0,0,0
\program files\greenshot\languages\plugins\greenshotdropboxplugin\language_dropboxplugin-cs-cz.xml,\program files\greenshot\languages\plugins\greenshotdropboxplugin,language_dropboxplugin-cs-cz,xml,,5,28,0,0,0,0
\users\<username>\documents\budget_2021.xlsx:zone.identifier,\users\<username>\documents,budget_2021,xlsx,zone.identifier,3,11,1,0,1,0
\program files (x86)\common files\apple\mobile device support\syncuihandler.exe,\program files (x86)\common files\apple\mobile device support,syncuihandler,exe,,4,13,1,0,0,0
\program files\inkscape\share\poppler\cmap\adobe-japan1\h,\program files\inkscape\share\poppler\cmap\adobe-japan1,h,,,6,1,0,0,0,0
\windows\system32\en-us\licenses\volume\serverstandard\license.rtf,\windows\system32\en-us\licenses\volume\serverstandard,license,rtf,,6,7,1,0,0,0
\windows\syswow64\kbdarmty.dll,\windows\syswow64,kbdarmty,dll,,2,8,1,0,0,0
\program files\gimp 2\lib\python<version>\encodings\charmap.py,\program files\gimp 2\lib\python<version>\encodings,charmap,py,,5,7,0,0,0,0
\program files\zoom\resources\emojis\1fa7a.svg,\program files\zoom\resources\emojis,1fa7a,svg,,4,5,0,0,0,0
\program files\libreoffice\help\media\helpimg\border_wr_9.png,\program files\libreoffice\help\media\helpimg,border_wr_9,png,,5,11,1,0,0,0
\program files\microsoft office\packagemanifests\appxmanifest.90160000-012a-0000-1000-0000000ff1ce.xml,\program files\microsoft office\packagemanifests,appxmanifest.90160000-012a-0000-1000-0000000ff1ce,xml,,3,49,0,0,0,0
\program files (x86)\openoffice 4\program\python-core-<version>\lib\sched.py,\program files (x86)\openoffice 4\program\python-core-<version>\lib,sched,py,,5,5,0,0,0,0
\program files\amazon corretto\jdk<version>_442\demo\jvmti\mtrace\lib\mtrace.pdb,\program files\amazon corretto\jdk<version>_442\demo\jvmti\mtrace\lib,mtrace,pdb,,7,6,0,0,0,0
\eclipse\plugins\org.eclipse.mylyn.wikitext.confluence.ui_4.5.0.v20241002-1142.jar,\eclipse\plugins,org.eclipse.mylyn.wikitext.confluence.ui_4.5.0.v20241002-1142,jar,,2,61,1,0,0,0
\users\<username>\desktop\podcast_episode_06_2021.mp3:zone.identifier,\users\<username>\desktop,podcast_episode_06_2021,mp3,zone.identifier,3,23,1,0,1,0
\program files\libreoffice\share\extensions\wiki-publisher\help\id\help.ht_,\program files\libreoffice\share\extensions\wiki-publisher\help\id,help,ht_,,7,4,0,0,0,0
\program files\itunes\itunes.resources\en_au.lproj\storeviewbutton@2x.png,\program files\itunes\itunes.resources\en_au.lproj,storeviewbutton@2x,png,,4,18,1,0,0,0
\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee}\package_1941_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0.cat,\windows\system32\catroot\{f750e6c3-38ee-11d1-85e5-00c04fc295ee},package_1941_for_kb4505064~31bf3856ad364e35~amd64~~10.0.1.0,cat,,4,59,0,0,0,0
\windows\winsxs\amd64_microsoft-windows-refs_31bf3856ad364e35_<version>_none_f3c98fdfeee0d0cf\refs.sys,\windows\winsxs\amd64_microsoft-windows-refs_31bf3856ad364e35_<version>_none_f3c98fdfeee0d0cf,refs,sys,,3,4,1,0,0,0
\program files\libreoffice\share\fingerprint\pa.lm,\program files\libreoffice\share\fingerprint,pa,lm,,4,2,0,0,0,0
